4.74772	0
4.69563	0.01
4.5585	0.02
4.35055	0.03
4.09467	0.04
3.81994	0.05
3.55454	0.06
3.31834	0.07
3.12077	0.08
2.96356	0.09
2.84458	0.1
2.76051	0.11
2.70806	0.12
2.68453	0.13
2.68779	0.14
2.71631	0.15
2.76901	0.16
2.84518	0.17
2.94441	0.18
3.06646	0.19
3.2113	0.2
3.37901	0.21
3.56975	0.22
3.78377	0.23
4.02138	0.24
4.28292	0.25
4.5688	0.26
4.87945	0.27
5.21534	0.28
5.57698	0.29
5.96491	0.3
6.37973	0.31
6.82208	0.32
7.29264	0.33
7.79214	0.34
8.32139	0.35
8.88124	0.36
9.47262	0.37
10.0965	0.38
10.754	0.39
11.4463	0.4
