3.03295	0
3.02907	0.01
3.01885	0.02
3.00333	0.03
2.98423	0.04
2.96368	0.05
2.94376	0.06
2.92591	0.07
2.91081	0.08
2.89856	0.09
2.889	0.1
2.88186	0.11
2.87688	0.12
2.87382	0.13
2.87251	0.14
2.87279	0.15
2.87454	0.16
2.87765	0.17
2.88204	0.18
2.88762	0.19
2.89434	0.2
2.9021	0.21
2.91085	0.22
2.9205	0.23
2.93098	0.24
2.94221	0.25
2.9541	0.26
2.96655	0.27
2.97947	0.28
2.99274	0.29
3.00626	0.3
3.01991	0.31
3.03355	0.32
3.04705	0.33
3.06026	0.34
3.07303	0.35
3.08519	0.36
3.09656	0.37
3.10697	0.38
3.11621	0.39
3.12407	0.4
