-0.159497	0
-0.172964	0.01
-0.175321	0.02
-0.167192	0.03
-0.1506	0.04
-0.12923	0.05
-0.107762	0.06
-0.0905161	0.07
-0.0805084	0.08
-0.0793772	0.09
-0.0877997	0.1
-0.105922	0.11
-0.133637	0.12
-0.170731	0.13
-0.216948	0.14
-0.272009	0.15
-0.335621	0.16
-0.407477	0.17
-0.487256	0.18
-0.574621	0.19
-0.669222	0.2
-0.770702	0.21
-0.878696	0.22
-0.992844	0.23
-1.11279	0.24
-1.23818	0.25
-1.36868	0.26
-1.50399	0.27
-1.6438	0.28
-1.78785	0.29
-1.93587	0.3
-2.08766	0.31
-2.24299	0.32
-2.40169	0.33
-2.5636	0.34
-2.72856	0.35
-2.89646	0.36
-3.06716	0.37
-3.24056	0.38
-3.41655	0.39
-3.59503	0.4
