-0.159497	0
-0.213349	0.01
-0.255807	0.02
-0.287272	0.03
-0.309631	0.04
-0.326562	0.05
-0.342839	0.06
-0.362934	0.07
-0.390004	0.08
-0.425802	0.09
-0.471084	0.1
-0.526053	0.11
-0.590647	0.12
-0.664687	0.13
-0.747946	0.14
-0.840175	0.15
-0.941105	0.16
-1.05045	0.17
-1.16792	0.18
-1.29318	0.19
-1.42591	0.2
-1.56576	0.21
-1.71237	0.22
-1.86538	0.23
-2.02444	0.24
-2.18919	0.25
-2.35929	0.26
-2.53439	0.27
-2.71418	0.28
-2.89834	0.29
-3.0866	0.3
-3.27866	0.31
-3.47426	0.32
-3.67316	0.33
-3.87511	0.34
-4.07987	0.35
-4.28722	0.36
-4.49693	0.37
-4.70876	0.38
-4.92246	0.39
-5.13778	0.4
