-1.89088	0
-1.81739	0.01
-1.75689	0.02
-1.71072	0.03
-1.67747	0.04
-1.65253	0.05
-1.62926	0.06
-1.60109	0.07
-1.56301	0.08
-1.51169	0.09
-1.44504	0.1
-1.36155	0.11
-1.26001	0.12
-1.13931	0.13
-0.998345	0.14
-0.836011	0.15
-0.651215	0.16
-0.442875	0.17
-0.209933	0.18
0.0486393	0.19
0.333831	0.2
0.646599	0.21
0.987864	0.22
1.35852	0.23
1.75945	0.24
2.19151	0.25
2.65558	0.26
3.15253	0.27
3.68328	0.28
4.24875	0.29
4.84996	0.3
5.48793	0.31
6.16379	0.32
6.87873	0.33
7.63403	0.34
8.43108	0.35
9.27137	0.36
10.1565	0.37
11.0882	0.38
12.0683	0.39
13.0988	0.4
